都道府県,公共投資額2013,人口2010,人口密度,面積,投資額/面積,投資額/人口
北海道,1909818,"5,506",70.2,78.43304843,24349.65921,346.8612423
青森県,331121,"1,373",142.4,9.641853933,34342.0469,241.1660597
岩手県,592960,"1,330",87.1,15.26980482,38832.19248,445.8345865
宮城県,1421670,"2,348",322.3,7.28513807,195146.6103,605.4812606
秋田県,241776,"1,086",93.3,11.63987138,20771.36354,222.6298343
山形県,250712,"1,169",125.4,9.322169059,26894.17006,214.4670659
福島県,733384,"2,029",147.2,13.78396739,53205.58147,361.4509611
茨城県,457849,"2,970",487.2,6.096059113,75105.73495,154.1579125
栃木県,225338,"2,008",313.3,6.409192467,35158.56345,112.2201195
群馬県,336892,"2,008",315.6,6.362484157,52949.75857,167.7749004
埼玉県,593704,"7,195","1,894.2",3.798437335,156302.1705,82.5161918
千葉県,729396,"6,216","1,205.5",5.156366653,141455.418,117.3416988
東京都,1670459,"13,159","6,015.7",2.187442858,763658.3484,126.9442207
神奈川県,757559,"9,048","3,745.4",2.415763336,313589.907,83.72667993
新潟県,747724,"2,374",188.7,12.58081611,59433.6642,314.9637742
富山県,315598,"1,093",257.4,4.246309246,74322.89588,288.7447392
石川県,256956,"1,170",279.5,4.186046512,61383.93333,219.6205128
福井県,281784,806,192.4,4.189189189,67264.56774,349.6079404
山梨県,227144,863,193.3,4.464562856,50877.09757,263.202781
長野県,310305,"2,152",158.7,13.56017643,22883.55181,144.1937732
岐阜県,377074,"2,081",195.9,10.62276672,35496.77876,181.1984623
静岡県,389451,"3,765",483.9,7.780533168,50054.53888,103.4398406
愛知県,900844,"7,411","1,434.8",5.165179816,174407.0937,121.5549858
三重県,362792,"1,855",321.0,5.778816199,62779.63989,195.5752022
滋賀県,136988,"1,411",351.2,4.017653759,34096.51708,97.08575478
京都府,320779,"2,636",571.4,4.613230662,69534.56775,121.6915781
大阪府,749895,"8,865","4,669.7",1.898408891,395012.3724,84.59052453
兵庫県,610277,"5,588",665.6,8.395432692,72691.54817,109.2120616
奈良県,125161,"1,401",379.5,3.691699605,33903.35439,89.33690221
和歌山県,372570,"1,002",212.0,4.726415094,78827.18563,371.8263473
鳥取県,146796,589,167.8,3.510131108,41820.6601,249.229202
島根県,232677,717,107.0,6.700934579,34723.06695,324.5146444
岡山県,240041,"1,945",273.5,7.111517367,33753.83728,123.4143959
広島県,337690,"2,861",337.4,8.479549496,39824.04963,118.0321566
山口県,295117,"1,451",237.4,6.112047178,48284.47677,203.3886975
徳島県,153192,785,189.4,4.144667371,36961.22904,195.1490446
香川県,128313,996,530.7,1.876766535,68369.18584,128.8283133
愛媛県,219553,"1,431",252.1,5.676318921,38678.76401,153.4262753
高知県,221831,764,107.6,7.100371747,31242.16702,290.354712
福岡県,665359,"5,072","1,019.0",4.977428852,133675.2407,131.1827681
佐賀県,232501,850,348.3,2.440424921,95270.70388,273.5305882
長崎県,310145,"1,427",347.5,4.10647482,75525.84968,217.3405746
熊本県,340057,"1,817",245.4,7.404237979,45927.34606,187.1529994
大分県,223983,"1,197",188.7,6.343402226,35309.60075,187.1203008
宮崎県,288520,"1,135",146.7,7.736877982,37291.52775,254.2026432
鹿児島県,437446,"1,706",185.7,9.186860528,47616.48429,256.4161782
沖縄県,285350,"1,393",611.9,2.276515771,125345.0574,204.8456569